,tweet_id,text,likes,retweeted,airline,string_text,subjectivity,polarity,sentiment,reason
35,1335290883013562372,"['summit', 'welcome', 'saudi', 'arabia', 'انطلاقةنحومستقبلعظيم', 'مجموعةالعشرين', 'takingofftoagreatfuture', 'saudi']",0,False,Saudia airlines,summit welcome saudi arabia انطلاقةنحومستقبلعظيم مجموعةالعشرين takingofftoagreatfuture saudi,0.9,0.8,Positive,['welcome']
38,1334936986197614598,"['saudiarabia', 'saudia', 'qatar', 'qatar', 'gulfkanawut', 'المصالحةالخليجية', 'saudi', 'arabia', 'significant', 'progress']",0,False,Saudia airlines,saudiarabia saudia qatar qatar gulfkanawut المصالحةالخليجية saudi arabia significant progress,0.875,0.375,Positive,['significant']
40,1334803876038537218,"['sorry', 'true', 'actually', 'showing', 'true', 'nature', 'pakistani', 'abuse']",0,False,Saudia airlines,sorry true actually showing true nature pakistani abuse,0.6,0.04999999999999999,Positive,"['sorry', 'true', 'true']"
41,1334786143230029824,"['sorry', 'true', 'actually', 'showing', 'true', 'nature', 'pakistani', 'abuse']",1,False,Saudia airlines,sorry true actually showing true nature pakistani abuse,0.6,0.04999999999999999,Positive,"['sorry', 'true', 'true']"
47,1334437259500793857,"['نخدمكم', 'serve', 'love', 'اليومالعالميلذويالإعاقة', 'الخطوطالسعودية']",160,False,Saudia airlines,نخدمكم serve love اليومالعالميلذويالإعاقة الخطوطالسعودية,0.6,0.5,Positive,['love']
50,1334194717492350976,"['called', 'royal', 'infection', 'region', 'saudia', 'specially', 'terrorist', 'state']",0,False,Saudia airlines,called royal infection region saudia specially terrorist state,0.5714285714285714,0.35714285714285715,Positive,['specially']
59,1333895634999504897,"['first', 'state', 'second', 'state', 'third', 'state', 'finally', 'gsummit', 'saudia', 'presidency', 'global', 'economy']",1,False,Saudia airlines,first state second state third state finally gsummit saudia presidency global economy,0.26666666666666666,0.05,Positive,['first']
60,1333857613017083906,"['saudi', 'arabia', 'playing', 'turkey', 'young', 'prince', 'realize', 'turkey', 'trustworth']",1,False,Saudia airlines,saudi arabia playing turkey young prince realize turkey trustworth,0.4,0.1,Positive,['young']
61,1333819527759622144,"['iran', 'foreign', 'minister', 'zarif', 'desperate', 'blame', 'kingdom', 'saudiarabia', 'anything', 'negative', 'happens']",0,False,Saudia airlines,iran foreign minister zarif desperate blame kingdom saudiarabia anything negative happens,0.5083333333333333,-0.3416666666666666,Negative,"['foreign', 'desperate', 'negative']"
62,1333682331748618245,"['saudia', 'cargo', 'ready', 'transport', 'receive', 'coronavirus', 'vaccine', 'transport', 'coronavirus', 'covidvaccine', 'saudia']",0,False,Saudia airlines,saudia cargo ready transport receive coronavirus vaccine transport coronavirus covidvaccine saudia,0.5,0.2,Positive,['ready']
64,1333676832013639680,"['ready', 'transport', 'receive', 'coronavirus', 'vaccine', 'transport', 'coronavirus', 'covidvaccine', 'saudia']",2,False,Saudia airlines,ready transport receive coronavirus vaccine transport coronavirus covidvaccine saudia,0.5,0.2,Positive,['ready']
65,1336950027005161473,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transf']",5,False,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transf,0.13333333333333333,0.11666666666666667,Positive,"['economic', 'social']"
67,1337145735167369216,"['glad', 'elite', 'lifetime', 'titanium', 'ambassador', 'thank', 'silver', 'status', 'best']",0,False,United Airlines,glad elite lifetime titanium ambassador thank silver status best,0.65,0.75,Positive,"['glad', 'best']"
71,1337085055844245505,"['united', 'rise', 'skywalker', 'special', 'livery', 'departing', 'unitedairlines']",0,False,United Airlines,united rise skywalker special livery departing unitedairlines,0.5714285714285714,0.35714285714285715,Positive,['special']
74,1337069210606956547,"['unitedairlines', 'green']",0,False,United Airlines,unitedairlines green,0.3,-0.2,Negative,['green']
78,1337060987883712512,"['toilet', 'plume', 'dirty', 'secret', 'airline', 'dont', 'address', 'happy', 'talk', 'cleaning', 'mask', 'middle', 'seat']",0,False,United Airlines,toilet plume dirty secret airline dont address happy talk cleaning mask middle seat,0.5,-0.046666666666666634,Negative,"['toilet', 'dirty', 'secret', 'happy']"
79,1337052730301554695,"['travelagentmall', 'brings', 'best', 'airfare', 'deal', 'united', 'airline', 'book', 'exclusive']",0,False,United Airlines,travelagentmall brings best airfare deal united airline book exclusive,0.3,1.0,Positive,['best']
80,1337049251126325249,"['unitedairlines', 'green', 'carbon', 'capture']",0,False,United Airlines,unitedairlines green carbon capture,0.3,-0.2,Negative,['green']
81,1337030421977178113,"['make', 'feel', 'real', 'safe', 'boarding', 'crew', 'even', 'mask']",0,False,United Airlines,make feel real safe boarding crew even mask,0.75,0.75,Positive,"['real', 'safe']"
84,1336983362557251584,"['passenger', 'united', 'airline', 'soon', 'able', 'access', 'airline', 'automated', 'customer', 'service', 'ondemand']",0,False,United Airlines,passenger united airline soon able access airline automated customer service ondemand,0.625,0.5,Positive,['able']
86,1336844372688551937,"['correction', 'support', 'active', 'duty', 'member', 'veteran', 'dont', 'recognize', 'reserve', 'national']",0,False,United Airlines,correction support active duty member veteran dont recognize reserve national,0.3,-0.06666666666666668,Negative,['active']
94,1336679646541340672,"['hallmark', 'moment', 'boeing', 'delivered', 'first', 'boeingmax', 'aircraft', 'unitedairlines', 'since', 'grounding']",1,False,United Airlines,hallmark moment boeing delivered first boeingmax aircraft unitedairlines since grounding,0.3333333333333333,0.25,Positive,['first']
98,1336671965113954304,"['united', 'different', 'angle', 'photo', 'taken', 'nearly', 'year', 'inaugural', 'flight', 'united', 'uniteda']",0,False,United Airlines,united different angle photo taken nearly year inaugural flight united uniteda,0.5,0.05,Positive,['nearly']
105,1336527523216322563,"['unitedairlines', 'flight', 'loved']",2,False,United Airlines,unitedairlines flight loved,0.8,0.7,Positive,['loved']
108,1336486755042816000,"['unitedairlines', 'best', 'airline', 'used', 'extremely', 'professional', 'friendly', 'believe', 'ever']",0,False,United Airlines,unitedairlines best airline used extremely professional friendly believe ever,0.3,0.4916666666666667,Positive,"['best', 'extremely', 'professional', 'friendly']"
110,1336469575643361281,"['aware', 'come', 'unitedairlines', 'damage', 'done', 'better', 'none', 'zero', 'excuse', 'even', 'happened']",0,False,United Airlines,aware come unitedairlines damage done better none zero excuse even happened,0.26666666666666666,0.2333333333333333,Positive,"['aware', 'better', 'excuse']"
113,1336449950327005205,"['unitedairlines', 'taking', 'delivery', 'first', 'boeingmax', 'since', 'cleared', 'last', 'month', 'boeing']",0,False,United Airlines,unitedairlines taking delivery first boeingmax since cleared last month boeing,0.2,0.125,Positive,['first']
114,1336445595108724736,"['shiny', 'tail', 'glistening', 'midday', 'great', 'tailtuesday', 'come']",7,False,United Airlines,shiny tail glistening midday great tailtuesday come,0.75,0.8,Positive,['great']
115,1336440971769249792,"['unitedairlines', 'taking', 'delivery', 'first', 'boeingmax', 'since', 'cleared', 'last', 'month']",8,False,United Airlines,unitedairlines taking delivery first boeingmax since cleared last month,0.2,0.125,Positive,['first']
116,1336440198591287297,"['flight', 'seattle', 'seattle', 'first', 'delivery', 'united', 'airline']",0,False,United Airlines,flight seattle seattle first delivery united airline,0.3333333333333333,0.25,Positive,['first']
119,1336412184742649862,"['sent', 'required', 'detail', 'direct', 'message', 'good', 'enough', 'looking']",0,False,United Airlines,sent required detail direct message good enough looking,0.5,0.26666666666666666,Positive,"['direct', 'good']"
120,1336407992317644802,"['unitedairlines', 'schedule', 'surprising']",0,False,United Airlines,unitedairlines schedule surprising,0.5,0.7,Positive,['surprising']
121,1336397448353374208,"['unitedairlines', 'unitedairlinesloot', 'united', 'voucher', 'worth', 'cancellation', 'ticket']",0,False,United Airlines,unitedairlines unitedairlinesloot united voucher worth cancellation ticket,0.1,0.3,Positive,['worth']
122,1336395249925705733,"['unitedairlines', 'unitedairlinesloot', 'united', 'voucher', 'worth', 'cancellation', 'ticke']",0,False,United Airlines,unitedairlines unitedairlinesloot united voucher worth cancellation ticke,0.1,0.3,Positive,['worth']
123,1336394808919797764,"['unitedairlines', 'unitedairlinesloot', 'united', 'voucher', 'worth', 'cancellation', 'ticket']",0,False,United Airlines,unitedairlines unitedairlinesloot united voucher worth cancellation ticket,0.1,0.3,Positive,['worth']
124,1336394444304773121,"['unitedairlines', 'unitedairlinesloot', 'united', 'voucher', 'worth', 'cancellation', 'ticket']",0,False,United Airlines,unitedairlines unitedairlinesloot united voucher worth cancellation ticket,0.1,0.3,Positive,['worth']
127,1336369182762541062,"['worst', 'airline', 'everattendants', 'unprofessionalnever', 'worstairlinesunited']",0,False,United Airlines,worst airline everattendants unprofessionalnever worstairlinesunited,1.0,-1.0,Negative,['worst']
130,1336311007191453696,"['messed', 'even', 'asking', 'spread', 'unitedairlines', 'covid', 'pandemic', 'safe']",0,False,United Airlines,messed even asking spread unitedairlines covid pandemic safe,0.5,0.5,Positive,['safe']
131,1336192781988093953,"['follow', 'many', 'flight', 'attendant', 'party', 'vacation', 'hard', 'never', 'damn', 'mask', 'testing']",1,False,United Airlines,follow many flight attendant party vacation hard never damn mask testing,0.4805555555555556,0.1361111111111111,Positive,"['many', 'attendant', 'hard']"
132,1336184224332853249,"['significant', 'change', 'traveling', 'service', 'animal', 'result', 'final', 'rule', 'http']",0,False,United Airlines,significant change traveling service animal result final rule http,0.9375,0.1875,Positive,['significant']
134,1336102372620132353,"['complete', 'unitedairlines', 'experience', 'drink', 'evening']",0,False,United Airlines,complete unitedairlines experience drink evening,0.4,0.1,Positive,['complete']
137,1336066951106334721,"['true', 'special', 'meal', 'sfodel', 'thats', 'hour', 'flight', 'kosher', 'meal']",0,False,United Airlines,true special meal sfodel thats hour flight kosher meal,0.6107142857142858,0.3535714285714285,Positive,"['true', 'special']"
138,1336057933763915781,"['significant', 'change', 'traveling', 'service', 'animal', 'result', 'final', 'rule']",2,False,United Airlines,significant change traveling service animal result final rule,0.9375,0.1875,Positive,['significant']
144,1336031120048140288,"['article', 'little', 'anything', 'united', 'airline', 'continues', 'worse']",0,False,United Airlines,article little anything united airline continues worse,0.55,-0.29375,Negative,"['little', 'worse']"
146,1336005727454777346,"['loving', 'hotchocolate', 'flight', 'detroit', 'denver', 'christmasy', 'unitedairlines']",0,False,United Airlines,loving hotchocolate flight detroit denver christmasy unitedairlines,0.95,0.6,Positive,['loving']
148,1335951194028707841,"['sitting', 'united', 'airline', 'flight', 'safety', 'however', 'front', 'plane', 'empty']",0,False,United Airlines,sitting united airline flight safety however front plane empty,0.5,-0.1,Negative,['empty']
150,1335788575431004163,"['hate', 'unitedairlines']",1,False,United Airlines,hate unitedairlines,0.9,-0.8,Negative,['hate']
153,1335759226518577157,"['tweetoftheday', 'unitedairlines', 'couple', 'boarded', 'plane', 'testing', 'positive', 'covid']",2,False,United Airlines,tweetoftheday unitedairlines couple boarded plane testing positive covid,0.5454545454545454,0.2272727272727273,Positive,['positive']
154,1335661564427464704,"['fashion', 'unitedairlines', 'common', 'retweet']",0,False,United Airlines,fashion unitedairlines common retweet,0.5,-0.3,Negative,['common']
155,1335644688276189184,"['gorgeous', 'morning', 'denver', 'unitedairlines', 'flying', 'unitedexpress']",10,False,United Airlines,gorgeous morning denver unitedairlines flying unitedexpress,0.9,0.7,Positive,['gorgeous']
157,1335578688457486339,"['easy', 'thing', 'getting', 'better', 'airline', 'industry', 'photo', 'like', 'long', 'road']",0,False,United Airlines,easy thing getting better airline industry photo like long road,0.5777777777777778,0.29444444444444445,Positive,"['easy', 'better', 'long']"
162,1335406772727795712,"['sitting', 'united', 'airline', 'flight', 'safety', 'however', 'front', 'plane', 'empty']",2,False,United Airlines,sitting united airline flight safety however front plane empty,0.5,-0.1,Negative,['empty']
166,1335334558686855168,"['plane', 'back', 'crib', 'flight', 'attendant', 'exhausted', 'explain', 'face', 'mask', 'requirement', 'feel', 'unitedairlines']",1,False,United Airlines,plane back crib flight attendant exhausted explain face mask requirement feel unitedairlines,0.3666666666666667,-0.06666666666666668,Negative,"['attendant', 'exhausted']"
170,1335271356070383621,"['photo', 'full', 'flight', 'donotflyunited', 'pandemic', 'pandemictravel', 'healthandsafety', 'weareunited', 'unitedairlines']",1,False,United Airlines,photo full flight donotflyunited pandemic pandemictravel healthandsafety weareunited unitedairlines,0.55,0.35,Positive,['full']
171,1335258706032857093,"['stunning', 'shot', 'unitedairlines', 'avgeeks']",0,False,United Airlines,stunning shot unitedairlines avgeeks,1.0,0.5,Positive,['stunning']
172,1335236037388320783,"['please', 'social', 'distance', 'please', 'stand', 'foot', 'apart', 'next', 'clothes', 'fitting']",0,False,United Airlines,please social distance please stand foot apart next clothes fitting,0.18888888888888888,0.17777777777777778,Positive,"['social', 'fitting']"
175,1335178754478530560,"['interesting', 'marketing', 'strategy', 'communication', 'flying', 'time', 'covid', 'flying', 'unitedairlines']",0,False,United Airlines,interesting marketing strategy communication flying time covid flying unitedairlines,0.5,0.5,Positive,['interesting']
176,1335178682047016960,"['interesting', 'marketing', 'strategy', 'communication', 'flying', 'time', 'covid', 'flying']",0,False,United Airlines,interesting marketing strategy communication flying time covid flying,0.5,0.5,Positive,['interesting']
179,1335020620711604226,"['unitedairlines', 'hawaii', 'couple', 'flew', 'despite', 'positive', 'covid', 'test']",1,False,United Airlines,unitedairlines hawaii couple flew despite positive covid test,0.5454545454545454,0.2272727272727273,Positive,['positive']
182,1334934304250585090,"['please', 'consider', 'donating', 'unitedairlines', 'mile', 'like', 'small', 'beautiful']",2,False,United Airlines,please consider donating unitedairlines mile like small beautiful,0.7,0.3,Positive,"['small', 'beautiful']"
184,1334896257223938054,"['happy', 'friday', 'look', 'beauty', 'around', 'whats', 'directly', 'front', 'beingunited']",0,False,United Airlines,happy friday look beauty around whats directly front beingunited,0.7,0.45,Positive,"['happy', 'directly']"
185,1334889789485682690,"['happy', 'friday', 'look', 'beauty', 'around', 'whats', 'directly', 'front']",52,False,United Airlines,happy friday look beauty around whats directly front,0.7,0.45,Positive,"['happy', 'directly']"
186,1334860574509953025,"['united', 'airline', 'clean', 'cockpit', 'using', 'ultraviolet', 'light', 'unitedairlines', 'travel', 'safety', 'invest', 'auvistock']",1,False,United Airlines,united airline clean cockpit using ultraviolet light unitedairlines travel safety invest auvistock,0.7,0.38333333333333336,Positive,"['clean', 'light']"
187,1334846575840030722,"['live', 'blog', 'airline', 'oasis', 'entertainment', 'energy', 'sector', 'pandemic']",0,False,United Airlines,live blog airline oasis entertainment energy sector pandemic,0.5,0.13636363636363635,Positive,['live']
188,1334845105056968706,"['united', 'airline', 'receive', 'first', 'since', 'grounding', 'boeing', 'unitedairlines']",0,False,United Airlines,united airline receive first since grounding boeing unitedairlines,0.3333333333333333,0.25,Positive,['first']
189,1334835341967036417,"['live', 'blog', 'airline', 'oasis', 'entertainment', 'energy', 'sector', 'pandemic']",0,False,United Airlines,live blog airline oasis entertainment energy sector pandemic,0.5,0.13636363636363635,Positive,['live']
192,1334677647524237316,"['caffreyusa', 'known', 'know', 'originally', 'owned', 'unitedairlines', 'mile', 'decade']",0,False,United Airlines,caffreyusa known know originally owned unitedairlines mile decade,0.75,0.375,Positive,['originally']
194,1334658518054543360,"['unitedairlines', 'traveling', 'united', 'year', 'never', 'really', 'issue', 'last', 'trip', 'taking', 'united']",0,False,United Airlines,unitedairlines traveling united year never really issue last trip taking united,0.13333333333333333,-0.05,Negative,['really']
195,1334649766119137280,"['thing', 'stashstockparty', 'good', 'thing', 'left', 'unitedairlines', 'stock']",7,False,United Airlines,thing stashstockparty good thing left unitedairlines stock,0.30000000000000004,0.35,Positive,['good']
196,1334641658240118784,"['additional', 'training', 'could', 'flightattendant', 'pilot', 'baggagehandlers', 'quickly', 'trained', 'learn']",1,False,United Airlines,additional training could flightattendant pilot baggagehandlers quickly trained learn,0.5,0.3333333333333333,Positive,['quickly']
198,1334598838812897282,"['unitedairlines', 'first', 'receive', 'delivery']",0,False,United Airlines,unitedairlines first receive delivery,0.3333333333333333,0.25,Positive,['first']
199,1334592411998302210,"['golden', 'gate', 'foot', 'heading', 'flying', 'unitedairlines', 'avgeeks', 'avgeek', 'travelphotography']",0,False,United Airlines,golden gate foot heading flying unitedairlines avgeeks avgeek travelphotography,0.5,0.3,Positive,['golden']
200,1334590516822827008,"['golden', 'gate', 'foot', 'heading', 'flying', 'unitedairlines', 'avgeeks', 'avgeek']",2,False,United Airlines,golden gate foot heading flying unitedairlines avgeeks avgeek,0.5,0.3,Positive,['golden']
201,1334551884976164865,"['police', 'couple', 'flew', 'hawaii', 'despite', 'positive', 'virus', 'test', 'wesleymoribe', 'courtneypeterson', 'boarded']",1,False,United Airlines,police couple flew hawaii despite positive virus test wesleymoribe courtneypeterson boarded,0.5454545454545454,0.2272727272727273,Positive,['positive']
202,1334549942472302592,"['unitedairlines', 'responsible', 'allowing', 'couple', 'covid', 'positive', 'board', 'flight', 'knowingly', 'expo']",0,False,United Airlines,unitedairlines responsible allowing couple covid positive board flight knowingly expo,0.5477272727272727,0.2136363636363636,Positive,"['responsible', 'positive']"
203,1334548582758756352,"['unitedairlines', 'busy', 'enough', 'gate', 'handle', 'traffic', 'denver']",0,False,United Airlines,unitedairlines busy enough gate handle traffic denver,0.4,0.05,Positive,['busy']
205,1334537929121783809,"['shall', 'travel', 'first', 'going', 'course', 'family', 'cali', 'vaccine']",0,False,United Airlines,shall travel first going course family cali vaccine,0.3333333333333333,0.25,Positive,['first']
206,1334535059282399243,"['couple', 'tested', 'positive', 'covid', 'arrested', 'boarding', 'flight', 'covid', 'covid', 'sanfrancisco', 'hawaii']",0,False,United Airlines,couple tested positive covid arrested boarding flight covid covid sanfrancisco hawaii,0.5454545454545454,0.2272727272727273,Positive,['positive']
208,1334520741950320642,"['favorite', 'airline', 'check', 'photo', 'instagram', 'link']",0,False,United Airlines,favorite airline check photo instagram link,1.0,0.5,Positive,['favorite']
210,1334517258765410306,"['favorite', 'airline', 'check', 'photo', 'instagram', 'link']",3,False,United Airlines,favorite airline check photo instagram link,1.0,0.5,Positive,['favorite']
211,1334514992775884804,"['else', 'saved', 'money', 'ready', 'going', 'stir', 'crazy', 'year', 'saved', 'vacation', 'time', 'done']",0,False,United Airlines,else saved money ready going stir crazy year saved vacation time done,0.7,-0.2,Negative,"['ready', 'crazy']"
212,1334513767883956227,"['debuted', 'award', 'winning', 'inflight', 'entertainment', 'world', 'extensive', 'suite', 'accessibil']",0,False,United Airlines,debuted award winning inflight entertainment world extensive suite accessibil,0.5416666666666666,0.25,Positive,['winning']
216,1334460014468194305,"['worst', 'hotel', 'ever', 'like', 'mini', 'mogadishu', 'unitedairlines']",0,False,United Airlines,worst hotel ever like mini mogadishu unitedairlines,1.0,-1.0,Negative,['worst']
217,1334286674176643074,"['like', 'united', 'least', 'didnt', 'child', 'overhead', 'theyve', 'probably', 'done']",0,False,United Airlines,like united least didnt child overhead theyve probably done,0.4,-0.3,Negative,['least']
218,1334282930915586057,"['wingwednesday', 'window', 'seat', 'view', 'favorite', 'approach', 'ohare', 'avgeek', 'beingunited', 'unit']",0,False,United Airlines,wingwednesday window seat view favorite approach ohare avgeek beingunited unit,1.0,0.5,Positive,['favorite']
221,1334223594943959040,"['join', 'monday', 'pstest', 'captainlaura', 'facebook', 'live', 'discussing', 'holidaytravel', 'airport', 'health']",0,False,United Airlines,join monday pstest captainlaura facebook live discussing holidaytravel airport health,0.5,0.13636363636363635,Positive,['live']
224,1334183997258297344,"['united', 'airline', 'announced', 'wont', 'restart', 'flight', 'york', 'cape', 'town', 'late']",0,False,United Airlines,united airline announced wont restart flight york cape town late,0.6,-0.3,Negative,['late']
227,1334181180082712576,"['united', 'airline', 'flight', 'attendant', 'polite', 'manner', 'unitedairlines']",2,False,United Airlines,united airline flight attendant polite manner unitedairlines,0.4,0.2,Positive,['attendant']
228,1334165440625577985,"['seen', 'hemisphere', 'magazine', 'united', 'airline', 'best', 'quality', 'sleep', 'deserve', 'sleep']",0,False,United Airlines,seen hemisphere magazine united airline best quality sleep deserve sleep,0.3,1.0,Positive,['best']
229,1334148811292352516,"['wingwednesday', 'window', 'seat', 'view', 'favorite', 'approach', 'ohare', 'avgeek', 'beingunited']",40,False,United Airlines,wingwednesday window seat view favorite approach ohare avgeek beingunited,1.0,0.5,Positive,['favorite']
236,1333890341829799936,"['three', 'different', 'shot', 'sequence', 'featuring', 'special', 'herarthere', 'california', 'livery']",0,False,United Airlines,three different shot sequence featuring special herarthere california livery,0.5857142857142856,0.17857142857142858,Positive,['special']
237,1333874225271201794,"['first', 'class', 'deadhead', 'seniority', 'rule', 'flightattendant', 'flightattendants', 'flightattendantlife']",0,False,United Airlines,first class deadhead seniority rule flightattendant flightattendants flightattendantlife,0.3333333333333333,0.25,Positive,['first']
238,1333856848211038211,"['common', 'open', 'door', 'loss', 'freedom', 'airline', 'unitedairlines']",0,False,United Airlines,common open door loss freedom airline unitedairlines,0.5,-0.15,Negative,['common']
244,1336703932752531456,"['united', 'airline', 'take', 'delivery', 'controversial', 'boeing', 'cleared']",0,False,United Airlines,united airline take delivery controversial boeing cleared,0.95,0.55,Positive,['controversial']
247,1337116017516978178,"['good', 'international', 'airline', 'started', 'operating', 'pakistan', 'pakistanmovingforward']",2,False,Virgin Atlantic,good international airline started operating pakistan pakistanmovingforward,0.30000000000000004,0.35,Positive,['good']
251,1337097854771490817,"['farewell', 'favorite', 'shot', 'taken']",0,False,Virgin Atlantic,farewell favorite shot taken,1.0,0.5,Positive,['favorite']
252,1337081847956824064,"['virgin', 'sell', 'reality', 'dramatic', 'opening', 'suggests', 'order', 'raise', 'cash', 'airlin']",0,False,Virgin Atlantic,virgin sell reality dramatic opening suggests order raise cash airlin,0.6,-0.4333333333333333,Negative,['dramatic']
253,1337073308035141633,"['virgin', 'sell', 'reality', 'dramatic', 'opening', 'suggests', 'order', 'raise', 'cash']",1,False,Virgin Atlantic,virgin sell reality dramatic opening suggests order raise cash,0.6,-0.4333333333333333,Negative,['dramatic']
255,1336969992693297157,"['wondering', 'special', 'queen', 'farewell', 'virginatlantic']",0,False,Virgin Atlantic,wondering special queen farewell virginatlantic,0.5714285714285714,0.35714285714285715,Positive,['special']
256,1336927559557271552,"['gvros', 'literally', 'minute', 'sister', 'landed', 'sent', 'wonderful', 'photo', 'thank', 'letting']",0,False,Virgin Atlantic,gvros literally minute sister landed sent wonderful photo thank letting,1.0,1.0,Positive,['wonderful']
257,1336908525499506689,"['discus', 'travel', 'plan', 'handle', 'flight', 'booking', 'professional', 'level']",0,False,Virgin Atlantic,discus travel plan handle flight booking professional level,0.1,0.1,Positive,['professional']
258,1336903741862277120,"['gvros', 'sent', 'wonderful', 'picture', 'sister', 'falcon', 'timely', 'departs', 'last']",0,False,Virgin Atlantic,gvros sent wonderful picture sister falcon timely departs last,0.5333333333333333,0.5,Positive,['wonderful']
259,1336870992187015169,"['dead', 'others', 'hurt', 'west', 'virginia', 'chemical', 'facility', 'explosion', 'unclekjblog', 'virginatlantic', 'usaelections']",0,False,Virgin Atlantic,dead others hurt west virginia chemical facility explosion unclekjblog virginatlantic usaelections,0.4,-0.2,Negative,['dead']
260,1336843646071693313,"['literally', 'minute', 'sister', 'landed', 'sent', 'wonderful', 'photo', 'thank']",61,False,Virgin Atlantic,literally minute sister landed sent wonderful photo thank,1.0,1.0,Positive,['wonderful']
263,1336774357276831748,"['anyone', 'make', 'pretty', 'woman', 'experience', 'heathrow', 'take']",1,False,Virgin Atlantic,anyone make pretty woman experience heathrow take,1.0,0.25,Positive,['pretty']
264,1336756336412004356,"['anyone', 'ever', 'flown', 'economydelight', 'worth', 'money', 'feeling']",0,False,Virgin Atlantic,anyone ever flown economydelight worth money feeling,0.1,0.3,Positive,['worth']
265,1336747313847554054,"['wondering', 'special', 'queen', 'farewell', 'virginatlantic']",53,False,Virgin Atlantic,wondering special queen farewell virginatlantic,0.5714285714285714,0.35714285714285715,Positive,['special']
266,1336683489433935881,"['contest', 'bias', 'since', 'make', 'sure', 'andraro', 'paint', 'look', 'amazing', 'team', 'virginatlantic']",0,False,Virgin Atlantic,contest bias since make sure andraro paint look amazing team virginatlantic,0.8944444444444444,0.55,Positive,"['sure', 'amazing']"
268,1336667048924114945,"['live', 'final', 'farewell', 'gvlip', 'join', 'watch', 'live']",0,False,Virgin Atlantic,live final farewell gvlip join watch live,0.6666666666666666,0.0909090909090909,Positive,"['live', 'live']"
269,1336659867231260672,"['virginatlantic', 'resumed', 'flight', 'manchester', 'barbados', 'first', 'time', 'since', 'march', 'allowing']",1,False,Virgin Atlantic,virginatlantic resumed flight manchester barbados first time since march allowing,0.3333333333333333,0.25,Positive,['first']
271,1336649487511654400,"['live', 'final', 'farewell', 'gvlip', 'join', 'watch', 'live']",28,False,Virgin Atlantic,live final farewell gvlip join watch live,0.6666666666666666,0.0909090909090909,Positive,"['live', 'live']"
